comparison,model_id,seed,task,n,ours_accuracy,other_accuracy,delta_accuracy,ci95_low,ci95_high,significant,bootstrap_samples
Ours-Basis Sharing,8b_20,43,winogrande,1267,0.8626677190213102,0.7813733228097869,0.08129439621152329,0.05761641673243883,0.10497237569060773,True,10000
Ours-Basis Sharing,8b_20,43,macro,19149,0.8622736274033362,0.7543398921795857,0.1079337352237506,0.09873355696718052,0.1171284948886656,True,10000
Ours-Basis Sharing,8b_20,44,ARC-Challenge,1172,0.7798634812286689,0.621160409556314,0.15870307167235495,0.13054607508532423,0.18771331058020477,True,10000
Ours-Basis Sharing,8b_20,44,ARC-Easy,2376,0.8960437710437711,0.7744107744107744,0.12163299663299663,0.10479797979797979,0.1388888888888889,True,10000
Ours-Basis Sharing,8b_20,44,hellaswag,10042,0.9487153953395738,0.8610834495120494,0.0876319458275244,0.08105954989046006,0.09450308703445529,True,10000
Ours-Basis Sharing,8b_20,44,openbookqa,500,0.868,0.724,0.144,0.104,0.184,True,10000
Ours-Basis Sharing,8b_20,44,piqa,1838,0.8726877040261154,0.7622415669205659,0.11044613710554951,0.08922742110990206,0.1305767138193689,True,10000
Ours-Basis Sharing,8b_20,44,social_i_qa,1954,0.8009211873080859,0.7497441146366428,0.0511770726714432,0.03172978505629478,0.07062436028659161,True,10000
Ours-Basis Sharing,8b_20,44,winogrande,1267,0.8555643251775849,0.7758484609313339,0.07971586424625099,0.05761641673243883,0.1026045777426993,True,10000
Ours-Basis Sharing,8b_20,44,macro,19149,0.8602565520176857,0.7526412537096687,0.1076152983080171,0.09849086555925406,0.11659731531793442,True,10000
Ours-Basis Sharing,8b_25,42,ARC-Challenge,1172,0.7670648464163823,0.5836177474402731,0.18344709897610922,0.15273037542662116,0.21416382252559726,True,10000
Ours-Basis Sharing,8b_25,42,ARC-Easy,2376,0.8956228956228957,0.6999158249158249,0.19570707070707072,0.17676767676767677,0.21548821548821548,True,10000
Ours-Basis Sharing,8b_25,42,hellaswag,10042,0.9416450906193985,0.8263294164509062,0.11531567416849234,0.10774746066520613,0.12288388767177853,True,10000
Ours-Basis Sharing,8b_25,42,openbookqa,500,0.84,0.676,0.164,0.122,0.208,True,10000
Ours-Basis Sharing,8b_25,42,piqa,1838,0.8628944504896626,0.750816104461371,0.11207834602829161,0.09085963003264418,0.13329706202393907,True,10000
Ours-Basis Sharing,8b_25,42,social_i_qa,1954,0.8162743091095189,0.7262026612077789,0.09007164790174002,0.07062436028659161,0.10951893551688843,True,10000
Ours-Basis Sharing,8b_25,42,winogrande,1267,0.8674033149171271,0.7426992896606156,0.12470402525651145,0.09865824782951854,0.1499605367008682,True,10000
Ours-Basis Sharing,8b_25,42,macro,19149,0.8558435581678551,0.7150830063052528,0.1407605518626022,0.13109875756543732,0.15061234730537687,True,10000
Ours-Basis Sharing,8b_25,43,ARC-Challenge,1172,0.7952218430034129,0.5861774744027304,0.2090443686006826,0.17832764505119453,0.23890784982935154,True,10000
Ours-Basis Sharing,8b_25,43,ARC-Easy,2376,0.8956228956228957,0.7138047138047138,0.18181818181818182,0.16287878787878787,0.20075757575757575,True,10000
Ours-Basis Sharing,8b_25,43,hellaswag,10042,0.9455287791276639,0.8348934475204143,0.11063533160724955,0.10336586337382991,0.11800438159729137,True,10000
Ours-Basis Sharing,8b_25,43,openbookqa,500,0.842,0.66,0.182,0.14,0.224,True,10000
Ours-Basis Sharing,8b_25,43,piqa,1838,0.8726877040261154,0.7546245919477693,0.11806311207834602,0.09738846572361262,0.13928182807399347,True,10000
Ours-Basis Sharing,8b_25,43,social_i_qa,1954,0.8029682702149437,0.7379733879222109,0.06499488229273286,0.04503582395087001,0.0849539406345957,True,10000
Ours-Basis Sharing,8b_25,43,winogrande,1267,0.8579321231254933,0.7332280978689818,0.12470402525651145,0.10023677979479084,0.1499605367008682,True,10000
Ours-Basis Sharing,8b_25,43,macro,19149,0.8588516593029321,0.7172431019238316,0.1416085573791006,0.13185403572696291,0.15123916373304677,True,10000
Ours-Basis Sharing,8b_25,44,ARC-Challenge,1172,0.7986348122866894,0.5554607508532423,0.2431740614334471,0.21160409556313994,0.2738907849829352,True,10000
Ours-Basis Sharing,8b_25,44,ARC-Easy,2376,0.8918350168350169,0.7222222222222222,0.1696127946127946,0.15151515151515152,0.18855218855218855,True,10000
Ours-Basis Sharing,8b_25,44,hellaswag,10042,0.9451304521011751,0.8186616211909978,0.12646883091017724,0.11900019916351325,0.13403704441346345,True,10000
Ours-Basis Sharing,8b_25,44,openbookqa,500,0.862,0.672,0.19,0.148,0.232,True,10000
Ours-Basis Sharing,8b_25,44,piqa,1838,0.8710554951033732,0.7306855277475517,0.14036996735582155,0.11860718171926006,0.16267682263329705,True,10000
Ours-Basis Sharing,8b_25,44,social_i_qa,1954,0.7988741044012283,0.7154554759467758,0.0834186284544524,0.06345957011258956,0.10337768679631525,True,10000
Ours-Basis Sharing,8b_25,44,winogrande,1267,0.8721389108129439,0.7134964483030781,0.15864246250986583,0.13259668508287292,0.18547750591949486,True,10000
Ours-Basis Sharing,8b_25,44,macro,19149,0.8628098273629181,0.7039974351805526,0.1588123921823655,0.14880738506939076,0.16889267385829926,True,10000
Ours-SVD-LLM,3b_15,42,ARC-Challenge,1172,0.7568259385665529,0.5878839590443686,0.1689419795221843,0.13993174061433447,0.19795221843003413,True,10000
Ours-SVD-LLM,3b_15,42,ARC-Easy,2376,0.8712121212121212,0.7222222222222222,0.14898989898989898,0.13047138047138046,0.1670875420875421,True,10000
Ours-SVD-LLM,3b_15,42,hellaswag,10042,0.9426409081856204,0.8455486954789883,0.09709221270663214,0.09022107149970125,0.1041625174268074,True,10000
Ours-SVD-LLM,3b_15,42,openbookqa,500,0.824,0.706,0.118,0.078,0.158,True,10000
Ours-SVD-LLM,3b_15,42,piqa,1838,0.8590859630032645,0.7421109902067464,0.11697497279651796,0.09684439608269858,0.13710554951033732,True,10000
Ours-SVD-LLM,3b_15,42,social_i_qa,1954,0.8014329580348004,0.7482088024564995,0.05322415557830092,0.035312180143295804,0.07164790174002048,True,10000
Ours-SVD-LLM,3b_15,42,winogrande,1267,0.8492501973164956,0.7403314917127072,0.10891870560378848,0.08524072612470403,0.13259668508287292,True,10000
Ours-SVD-LLM,3b_15,42,macro,19149,0.8434925837598364,0.7274723087316474,0.11602027502818897,0.10670126193495844,0.12514882924417453,True,10000
