backbone,layer_i,layer_j,C_i_to_j,C_j_to_i,mutual_cost,asymmetry
Llama-3.2-3B,1,6,0.4884171839803457,7.879504323005676,7.879504323005676,7.3910871390253305
Llama-3.2-3B,1,7,0.3865700513124466,7.700521558523178,7.700521558523178,7.3139515072107315
Llama-3.2-3B,1,8,0.3172256136313081,7.682248920202255,7.682248920202255,7.365023306570947
Llama-3.2-3B,1,9,0.29150053672492504,7.523455172777176,7.523455172777176,7.231954636052251
Llama-3.2-3B,1,10,0.372032105922699,7.917676866054535,7.917676866054535,7.545644760131836
Llama-3.2-3B,1,11,0.3198614325374365,7.428383231163025,7.428383231163025,7.108521798625588
Llama-3.2-3B,1,12,0.4509630873799324,7.7116539478302,7.7116539478302,7.260690860450268
Llama-3.2-3B,1,13,0.42717545852065086,7.638844847679138,7.638844847679138,7.211669389158487
Llama-3.2-3B,1,14,0.47959562949836254,7.677559971809387,7.677559971809387,7.197964342311025
Llama-3.2-3B,1,15,0.4266463443636894,7.507128715515137,7.507128715515137,7.080482371151447
Llama-3.2-3B,1,16,0.44200736097991467,7.304988771677017,7.304988771677017,6.8629814106971025
Llama-3.2-3B,1,17,0.34821808710694313,7.653958052396774,7.653958052396774,7.305739965289831
Llama-3.2-3B,1,18,0.3851315751671791,7.522818088531494,7.522818088531494,7.137686513364315
Llama-3.2-3B,1,19,0.332977969199419,7.591368138790131,7.591368138790131,7.258390169590712
Llama-3.2-3B,1,20,0.29459577798843384,7.506825864315033,7.506825864315033,7.212230086326599
Llama-3.2-3B,1,21,0.30684118531644344,7.856776118278503,7.856776118278503,7.54993493296206
Llama-3.2-3B,1,22,0.18360453471541405,7.841973125934601,7.841973125934601,7.658368591219187
Llama-3.2-3B,1,23,0.17823445796966553,8.011332750320435,8.011332750320435,7.833098292350769
Llama-3.2-3B,1,24,0.29353403486311436,8.010487109422684,8.010487109422684,7.716953074559569
Llama-3.2-3B,1,25,0.28585558757185936,8.240022480487823,8.240022480487823,7.954166892915964
Llama-3.2-3B,1,26,0.2777757067233324,8.244825571775436,8.244825571775436,7.967049865052104
Llama-3.2-3B,1,27,0.4250319991260767,8.972766041755676,8.972766041755676,8.5477340426296
Llama-3.2-3B,2,3,0.5729936342686415,0.45583550445735455,0.5729936342686415,0.11715812981128693
Llama-3.2-3B,2,4,0.41753618232905865,0.6211527157574892,0.6211527157574892,0.20361653342843056
Llama-3.2-3B,2,5,0.4948297254741192,0.7249301746487617,0.7249301746487617,0.23010044917464256
Llama-3.2-3B,2,6,0.43241312727332115,0.8818870149552822,0.8818870149552822,0.44947388768196106
Llama-3.2-3B,2,7,0.364044725894928,0.9584633409976959,0.9584633409976959,0.5944186151027679
Llama-3.2-3B,2,8,0.2809080658480525,1.0223590098321438,1.0223590098321438,0.7414509439840913
Llama-3.2-3B,2,9,0.28621582593768835,0.9903286583721638,0.9903286583721638,0.7041128324344754
Llama-3.2-3B,2,10,0.3621325436979532,1.0646875463426113,1.0646875463426113,0.7025550026446581
Llama-3.2-3B,2,11,0.3203675439581275,1.2769214659929276,1.2769214659929276,0.9565539220348
Llama-3.2-3B,2,12,0.45014719292521477,1.0494690127670765,1.0494690127670765,0.5993218198418617
Llama-3.2-3B,2,13,0.3967980593442917,1.3091757409274578,1.3091757409274578,0.9123776815831661
Llama-3.2-3B,2,14,0.458156306296587,1.3034963756799698,1.3034963756799698,0.8453400693833828
Llama-3.2-3B,2,15,0.4179206881672144,1.1060929968953133,1.1060929968953133,0.6881723087280989
Llama-3.2-3B,2,16,0.43195166625082493,1.2534562274813652,1.2534562274813652,0.8215045612305403
Llama-3.2-3B,2,17,0.3644691966474056,1.2369450330734253,1.2369450330734253,0.8724758364260197
Llama-3.2-3B,2,18,0.384006105363369,1.2653925493359566,1.2653925493359566,0.8813864439725876
Llama-3.2-3B,2,19,0.31767707131803036,1.366552248597145,1.366552248597145,1.0488751772791147
Llama-3.2-3B,2,20,0.29796886816620827,1.1813881322741508,1.1813881322741508,0.8834192641079426
Llama-3.2-3B,2,21,0.28729666210711,1.1691242009401321,1.1691242009401321,0.8818275388330221
Llama-3.2-3B,2,22,0.1895545395091176,1.489394448697567,1.489394448697567,1.2998399091884494
Llama-3.2-3B,2,23,0.18345655966550112,1.4598552286624908,1.4598552286624908,1.2763986689969897
Llama-3.2-3B,2,24,0.2927737198770046,1.5127012729644775,1.5127012729644775,1.219927553087473
Llama-3.2-3B,2,25,0.29245732072740793,2.3041362166404724,2.3041362166404724,2.0116788959130645
Llama-3.2-3B,2,26,0.28292204812169075,2.1223473846912384,2.1223473846912384,1.8394253365695477
Llama-3.2-3B,2,27,0.43823329359292984,2.482374534010887,2.482374534010887,2.0441412404179573
