backbone,donor,target,delta_nll,kl,C_forward
Llama-3.2-3B,11,20,0.15966796875,0.16939331963658333,0.32906128838658333
Llama-3.2-3B,7,19,0.1650390625,0.1643291898071766,0.3293682523071766
Llama-3.2-3B,16,20,0.1591796875,0.17023064009845257,0.32941032759845257
Llama-3.2-3B,11,19,0.16650390625,0.1638943199068308,0.3303982261568308
Llama-3.2-3B,3,7,0.15966796875,0.17207207530736923,0.33174004405736923
Llama-3.2-3B,8,7,0.15771484375,0.17403632402420044,0.33175116777420044
Llama-3.2-3B,1,19,0.16552734375,0.16745062544941902,0.332977969199419
Llama-3.2-3B,3,10,0.150390625,0.18297371827065945,0.33336434327065945
Llama-3.2-3B,15,25,0.18701171875,0.14662971906363964,0.33364143781363964
Llama-3.2-3B,12,21,0.166015625,0.1686077117919922,0.3346233367919922
Llama-3.2-3B,6,19,0.1611328125,0.17404265515506268,0.3351754676550627
Llama-3.2-3B,0,17,0.15478515625,0.1807242389768362,0.3355093952268362
Llama-3.2-3B,10,20,0.16455078125,0.17102373577654362,0.3355745170265436
Llama-3.2-3B,15,9,0.1611328125,0.1750761680305004,0.3362089805305004
Llama-3.2-3B,17,25,0.18408203125,0.15244110580533743,0.33652313705533743
Llama-3.2-3B,16,25,0.18505859375,0.15186862275004387,0.33692721650004387
Llama-3.2-3B,17,24,0.15576171875,0.1816679909825325,0.3374297097325325
Llama-3.2-3B,8,17,0.1591796875,0.17830506525933743,0.3374847527593374
Llama-3.2-3B,5,19,0.1669921875,0.17110921256244183,0.3381014000624418
Llama-3.2-3B,16,21,0.1650390625,0.17307764664292336,0.33811670914292336
Llama-3.2-3B,21,9,0.1650390625,0.1733240308240056,0.3383630933240056
Llama-3.2-3B,4,11,0.1640625,0.17433062195777893,0.33839312195777893
Llama-3.2-3B,0,19,0.1650390625,0.17360283434391022,0.3386418968439102
Llama-3.2-3B,26,25,0.16357421875,0.1752441879361868,0.3388184066861868
Llama-3.2-3B,16,9,0.16552734375,0.17607810534536839,0.3416054490953684
Llama-3.2-3B,11,21,0.16845703125,0.17487656511366367,0.3433335963636637
Llama-3.2-3B,6,17,0.1630859375,0.18039733543992043,0.3434832729399204
Llama-3.2-3B,14,24,0.1611328125,0.18270599469542503,0.34383880719542503
Llama-3.2-3B,8,9,0.1689453125,0.17618102673441172,0.3451263392344117
Llama-3.2-3B,7,11,0.16845703125,0.1772229876369238,0.3456800188869238
Llama-3.2-3B,21,20,0.16357421875,0.18263513781130314,0.34620935656130314
Llama-3.2-3B,20,21,0.1728515625,0.1735094403848052,0.3463610028848052
Llama-3.2-3B,16,26,0.16748046875,0.18014572374522686,0.34762619249522686
Llama-3.2-3B,22,21,0.17041015625,0.17773020640015602,0.348140362650156
Llama-3.2-3B,1,17,0.1689453125,0.17927277460694313,0.34821808710694313
Llama-3.2-3B,10,19,0.17626953125,0.17225073836743832,0.3485202696174383
Llama-3.2-3B,24,21,0.17578125,0.17395101487636566,0.34973226487636566
Llama-3.2-3B,13,9,0.1708984375,0.17914851941168308,0.3500469569116831
Llama-3.2-3B,14,9,0.1728515625,0.17825005948543549,0.3511016219854355
Llama-3.2-3B,15,24,0.16650390625,0.18468462117016315,0.35118852742016315
Llama-3.2-3B,25,26,0.14892578125,0.20246787928044796,0.35139366053044796
Llama-3.2-3B,9,7,0.16650390625,0.18555505014955997,0.35205895639956
Llama-3.2-3B,17,9,0.1708984375,0.18167189601808786,0.35257033351808786
Llama-3.2-3B,18,9,0.1796875,0.1747469361871481,0.3544344361871481
Llama-3.2-3B,21,8,0.16796875,0.1893989723175764,0.3573677223175764
Llama-3.2-3B,6,11,0.17626953125,0.18112164922058582,0.3573911804705858
Llama-3.2-3B,4,17,0.16943359375,0.18864829279482365,0.35808188654482365
Llama-3.2-3B,7,17,0.169921875,0.18846101872622967,0.35838289372622967
Llama-3.2-3B,23,24,0.177734375,0.18073314428329468,0.3584675192832947
Llama-3.2-3B,24,25,0.1953125,0.16405618004500866,0.35936868004500866
Llama-3.2-3B,13,21,0.177734375,0.18275186233222485,0.36048623733222485
Llama-3.2-3B,22,17,0.1611328125,0.19937463849782944,0.36050745099782944
Llama-3.2-3B,0,11,0.1796875,0.18224842473864555,0.36193592473864555
Llama-3.2-3B,20,8,0.166015625,0.1961026843637228,0.3621183093637228
Llama-3.2-3B,2,10,0.1689453125,0.19318723119795322,0.3621325436979532
Llama-3.2-3B,22,24,0.17041015625,0.19269908033311367,0.36310923658311367
Llama-3.2-3B,15,20,0.18310546875,0.18026183545589447,0.36336730420589447
Llama-3.2-3B,2,7,0.17431640625,0.18972831964492798,0.364044725894928
Llama-3.2-3B,18,11,0.17724609375,0.18685651570558548,0.3641026094555855
Llama-3.2-3B,12,10,0.16748046875,0.19662620313465595,0.36410667188465595
Llama-3.2-3B,5,10,0.1640625,0.20016329921782017,0.36422579921782017
Llama-3.2-3B,2,17,0.17724609375,0.18722310289740562,0.3644691966474056
Llama-3.2-3B,15,11,0.1806640625,0.1845108838751912,0.3651749463751912
Llama-3.2-3B,18,24,0.17236328125,0.1928834468126297,0.3652467280626297
Llama-3.2-3B,9,17,0.17626953125,0.1895608063787222,0.3658303376287222
Llama-3.2-3B,22,20,0.17236328125,0.19350229389965534,0.36586557514965534
Llama-3.2-3B,13,11,0.18359375,0.18267377838492393,0.36626752838492393
Llama-3.2-3B,5,7,0.17333984375,0.19331957213580608,0.3666594158858061
Llama-3.2-3B,3,17,0.17236328125,0.19439855217933655,0.36676183342933655
Llama-3.2-3B,12,11,0.1884765625,0.1799627374857664,0.3684392999857664
Llama-3.2-3B,14,11,0.18017578125,0.18873154744505882,0.3689073286950588
Llama-3.2-3B,11,10,0.1669921875,0.20234717801213264,0.36933936551213264
Llama-3.2-3B,13,20,0.1865234375,0.18310706689953804,0.36963050439953804
Llama-3.2-3B,7,10,0.16650390625,0.2035564947873354,0.3700604010373354
Llama-3.2-3B,1,10,0.16748046875,0.20455163717269897,0.372032105922699
Llama-3.2-3B,23,25,0.20654296875,0.1663251230493188,0.3728680917993188
Llama-3.2-3B,15,8,0.1787109375,0.194500214420259,0.373211151920259
Llama-3.2-3B,8,18,0.1787109375,0.19454863294959068,0.3732595704495907
Llama-3.2-3B,17,21,0.18115234375,0.19324437156319618,0.3743967153131962
Llama-3.2-3B,14,20,0.18896484375,0.18565832264721394,0.37462316639721394
Llama-3.2-3B,16,11,0.18310546875,0.19201409816741943,0.37511956691741943
Llama-3.2-3B,22,19,0.177734375,0.19752970151603222,0.3752640765160322
Llama-3.2-3B,4,8,0.169921875,0.20535917486995459,0.3752810498699546
Llama-3.2-3B,23,9,0.17578125,0.20064759068191051,0.3764288406819105
Llama-3.2-3B,16,8,0.1787109375,0.1985437572002411,0.3772546947002411
Llama-3.2-3B,17,8,0.1806640625,0.19729172438383102,0.377955786883831
Llama-3.2-3B,0,7,0.171875,0.20713589154183865,0.37901089154183865
Llama-3.2-3B,22,25,0.2080078125,0.1712701041251421,0.3792779166251421
Llama-3.2-3B,6,10,0.17822265625,0.20156238600611687,0.37978504225611687
Llama-3.2-3B,0,10,0.171875,0.2083331160247326,0.3802081160247326
Llama-3.2-3B,16,19,0.18505859375,0.19599095173180103,0.38104954548180103
Llama-3.2-3B,5,4,0.1767578125,0.20547539740800858,0.3822332099080086
Llama-3.2-3B,19,9,0.1787109375,0.20436727441847324,0.38307821191847324
Llama-3.2-3B,21,17,0.17919921875,0.2041034083813429,0.3833026271313429
Llama-3.2-3B,2,18,0.1865234375,0.197482667863369,0.384006105363369
Llama-3.2-3B,23,8,0.18017578125,0.20460846833884716,0.38478424958884716
Llama-3.2-3B,1,18,0.18798828125,0.1971432939171791,0.3851315751671791
Llama-3.2-3B,5,18,0.18994140625,0.19574442133307457,0.38568582758307457
Llama-3.2-3B,25,9,0.166015625,0.22049647383391857,0.38651209883391857
Llama-3.2-3B,1,7,0.18408203125,0.2024880200624466,0.3865700513124466
Llama-3.2-3B,18,8,0.19140625,0.19540388323366642,0.3868101332336664
Llama-3.2-3B,20,11,0.1865234375,0.20055094361305237,0.38707438111305237
